/afs/250010026/nlp/model/train_transformer_nmt.py:629: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=bool(args.fp16 and device.type == "cuda"))
/afs/250010026/nlp/model/train_transformer_nmt.py:650: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=bool(args.fp16 and device.type == "cuda")):
[schedule] steps_per_epoch=391 total_steps=196000 warmup_steps=6000
[epoch 156] train_loss=2.6598 step=60996 lr=0.000330568
[epoch 156] valid_bleu=9.28 | N/A
[epoch 157] train_loss=2.6569 step=61387 lr=0.000329647
[epoch 157] valid_bleu=9.56 | N/A
[epoch 158] train_loss=2.6542 step=61778 lr=0.000328722
[epoch 158] valid_bleu=9.09 | N/A
[epoch 159] train_loss=2.6522 step=62169 lr=0.000327792
[epoch 159] valid_bleu=9.28 | N/A
[epoch 160] train_loss=2.6491 step=62560 lr=0.000326858
[epoch 160] valid_bleu=9.23 | N/A
[epoch 161] train_loss=2.6466 step=62951 lr=0.000325919
[epoch 161] valid_bleu=9.23 | N/A
[epoch 162] train_loss=2.6438 step=63342 lr=0.000324976
[epoch 162] valid_bleu=9.05 | N/A
[epoch 163] train_loss=2.6409 step=63733 lr=0.000324029
[epoch 163] valid_bleu=9.08 | N/A
[epoch 164] train_loss=2.6375 step=64124 lr=0.000323077
[epoch 164] valid_bleu=9.30 | N/A
[epoch 165] train_loss=2.6355 step=64515 lr=0.000322121
[epoch 165] valid_bleu=9.55 | N/A
[epoch 166] train_loss=2.6328 step=64906 lr=0.00032116
[epoch 166] valid_bleu=9.03 | N/A
[epoch 167] train_loss=2.6303 step=65297 lr=0.000320196
[epoch 167] valid_bleu=9.36 | N/A
[epoch 168] train_loss=2.6276 step=65688 lr=0.000319227
[epoch 168] valid_bleu=8.91 | N/A
[epoch 169] train_loss=2.6247 step=66079 lr=0.000318254
[epoch 169] valid_bleu=9.09 | N/A
[epoch 170] train_loss=2.6231 step=66470 lr=0.000317277
[epoch 170] valid_bleu=8.93 | N/A
[epoch 171] train_loss=2.6198 step=66861 lr=0.000316295
[epoch 171] valid_bleu=9.08 | N/A
[epoch 172] train_loss=2.6172 step=67252 lr=0.00031531
[epoch 172] valid_bleu=9.19 | N/A
[epoch 173] train_loss=2.6146 step=67643 lr=0.000314321
[epoch 173] valid_bleu=9.24 | N/A
[epoch 174] train_loss=2.6126 step=68034 lr=0.000313328
[epoch 174] valid_bleu=9.45 | N/A
[epoch 175] train_loss=2.6109 step=68425 lr=0.000312331
[epoch 175] valid_bleu=9.12 | N/A
[epoch 176] train_loss=2.6079 step=68816 lr=0.00031133
[epoch 176] valid_bleu=9.08 | N/A
[epoch 177] train_loss=2.6056 step=69207 lr=0.000310325
[epoch 177] valid_bleu=8.85 | N/A
[epoch 178] train_loss=2.6036 step=69598 lr=0.000309317
[epoch 178] valid_bleu=9.04 | N/A
[epoch 179] train_loss=2.5996 step=69989 lr=0.000308305
[epoch 179] valid_bleu=9.23 | N/A
[epoch 180] train_loss=2.5984 step=70380 lr=0.000307289
[epoch 180] valid_bleu=8.87 | N/A
[epoch 181] train_loss=2.5959 step=70771 lr=0.000306269
[epoch 181] valid_bleu=9.13 | N/A
[epoch 182] train_loss=2.5937 step=71162 lr=0.000305246
[epoch 182] valid_bleu=8.83 | N/A
[epoch 183] train_loss=2.5912 step=71553 lr=0.000304219
[epoch 183] valid_bleu=9.07 | N/A
[epoch 184] train_loss=2.5888 step=71944 lr=0.000303189
[epoch 184] valid_bleu=8.51 | N/A
[epoch 185] train_loss=2.5869 step=72335 lr=0.000302156
[epoch 185] valid_bleu=9.22 | N/A
[epoch 186] train_loss=2.5841 step=72726 lr=0.000301118
[epoch 186] valid_bleu=8.77 | N/A
[epoch 187] train_loss=2.5813 step=73117 lr=0.000300078
[epoch 187] valid_bleu=8.86 | N/A
[epoch 188] train_loss=2.5790 step=73508 lr=0.000299034
[epoch 188] valid_bleu=9.35 | N/A
[epoch 189] train_loss=2.5766 step=73899 lr=0.000297987
[epoch 189] valid_bleu=9.38 | N/A
[epoch 190] train_loss=2.5749 step=74290 lr=0.000296936
[epoch 190] valid_bleu=9.07 | N/A
[epoch 191] train_loss=2.5728 step=74681 lr=0.000295883
[epoch 191] valid_bleu=9.17 | N/A
