/afs/250010026/nlp/model/train_transformer_nmt.py:629: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=bool(args.fp16 and device.type == "cuda"))
/afs/250010026/nlp/model/train_transformer_nmt.py:650: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=bool(args.fp16 and device.type == "cuda")):
[schedule] steps_per_epoch=391 total_steps=196000 warmup_steps=6000
[epoch 79] valid_bleu=7.76 | N/A
[epoch 80] train_loss=2.1428 step=31280 lr=0.000384503
[epoch 80] valid_bleu=7.70 | N/A
[epoch 81] train_loss=2.1364 step=31671 lr=0.000384027
[epoch 81] valid_bleu=7.84 | N/A
[epoch 82] train_loss=2.1309 step=32062 lr=0.000383544
[epoch 82] valid_bleu=8.03 | N/A
[epoch 83] train_loss=2.1246 step=32453 lr=0.000383055
[epoch 83] valid_bleu=7.79 | N/A
[epoch 84] train_loss=2.1202 step=32844 lr=0.000382558
[epoch 84] valid_bleu=7.66 | N/A
[epoch 85] train_loss=2.1148 step=33235 lr=0.000382055
[epoch 85] valid_bleu=7.68 | N/A
[epoch 86] train_loss=2.1079 step=33626 lr=0.000381545
[epoch 86] valid_bleu=7.92 | N/A
[epoch 87] train_loss=2.1044 step=34017 lr=0.000381029
[epoch 87] valid_bleu=8.09 | N/A
[epoch 88] train_loss=2.0980 step=34408 lr=0.000380505
[epoch 88] valid_bleu=8.15 | N/A
[epoch 89] train_loss=2.0931 step=34799 lr=0.000379975
[epoch 89] valid_bleu=7.47 | N/A
[epoch 90] train_loss=2.0893 step=35190 lr=0.000379438
[epoch 90] valid_bleu=8.60 | N/A
[epoch 91] train_loss=2.0839 step=35581 lr=0.000378895
[epoch 91] valid_bleu=8.02 | N/A
[epoch 92] train_loss=2.0788 step=35972 lr=0.000378345
[epoch 92] valid_bleu=7.33 | N/A
[epoch 93] train_loss=2.0735 step=36363 lr=0.000377788
[epoch 93] valid_bleu=8.38 | N/A
[epoch 94] train_loss=2.0694 step=36754 lr=0.000377225
[epoch 94] valid_bleu=8.02 | N/A
[epoch 95] train_loss=2.0635 step=37145 lr=0.000376655
[epoch 95] valid_bleu=7.72 | N/A
[epoch 96] train_loss=2.0601 step=37536 lr=0.000376079
[epoch 96] valid_bleu=7.78 | N/A
[epoch 97] train_loss=2.0555 step=37927 lr=0.000375496
[epoch 97] valid_bleu=7.87 | N/A
[epoch 98] train_loss=2.0514 step=38318 lr=0.000374906
[epoch 98] valid_bleu=7.70 | N/A
[epoch 99] train_loss=2.0472 step=38709 lr=0.00037431
[epoch 99] valid_bleu=7.64 | N/A
[epoch 100] train_loss=2.0421 step=39100 lr=0.000373708
[epoch 100] valid_bleu=8.30 | N/A
[epoch 101] train_loss=2.0394 step=39491 lr=0.000373099
[epoch 101] valid_bleu=7.19 | N/A
[epoch 102] train_loss=2.0336 step=39882 lr=0.000372484
[epoch 102] valid_bleu=8.33 | N/A
[epoch 103] train_loss=2.0310 step=40273 lr=0.000371862
[epoch 103] valid_bleu=7.92 | N/A
[epoch 104] train_loss=2.0268 step=40664 lr=0.000371235
[epoch 104] valid_bleu=7.38 | N/A
[epoch 105] train_loss=2.0222 step=41055 lr=0.0003706
[epoch 105] valid_bleu=7.57 | N/A
[epoch 106] train_loss=2.0179 step=41446 lr=0.00036996
[epoch 106] valid_bleu=7.46 | N/A
[epoch 107] train_loss=2.0151 step=41837 lr=0.000369313
[epoch 107] valid_bleu=8.07 | N/A
[epoch 108] train_loss=2.0102 step=42228 lr=0.00036866
[epoch 108] valid_bleu=7.72 | N/A
[epoch 109] train_loss=2.0070 step=42619 lr=0.000368001
[epoch 109] valid_bleu=7.51 | N/A
[epoch 110] train_loss=2.0036 step=43010 lr=0.000367335
[epoch 110] valid_bleu=7.72 | N/A
[epoch 111] train_loss=1.9995 step=43401 lr=0.000366664
[epoch 111] valid_bleu=7.59 | N/A
[epoch 112] train_loss=1.9962 step=43792 lr=0.000365986
[epoch 112] valid_bleu=8.09 | N/A
[epoch 113] train_loss=1.9927 step=44183 lr=0.000365302
[epoch 113] valid_bleu=8.01 | N/A
[epoch 114] train_loss=1.9892 step=44574 lr=0.000364612
[epoch 114] valid_bleu=7.76 | N/A
[epoch 115] train_loss=1.9855 step=44965 lr=0.000363916
[epoch 115] valid_bleu=7.95 | N/A
[epoch 116] train_loss=1.9830 step=45356 lr=0.000363214
[epoch 116] valid_bleu=8.03 | N/A
[epoch 117] train_loss=1.9796 step=45747 lr=0.000362507
[epoch 117] valid_bleu=7.97 | N/A
[epoch 118] train_loss=1.9754 step=46138 lr=0.000361793
[epoch 118] valid_bleu=7.70 | N/A
[epoch 119] train_loss=1.9726 step=46529 lr=0.000361073
[epoch 119] valid_bleu=7.91 | N/A
[epoch 120] train_loss=1.9703 step=46920 lr=0.000360347
[epoch 120] valid_bleu=7.80 | N/A
[epoch 121] train_loss=1.9661 step=47311 lr=0.000359616
[epoch 121] valid_bleu=7.69 | N/A
[epoch 122] train_loss=1.9627 step=47702 lr=0.000358878
[epoch 122] valid_bleu=7.58 | N/A
[epoch 123] train_loss=1.9608 step=48093 lr=0.000358135
[epoch 123] valid_bleu=7.89 | N/A
[epoch 124] train_loss=1.9577 step=48484 lr=0.000357386
[epoch 124] valid_bleu=7.71 | N/A
[epoch 125] train_loss=1.9546 step=48875 lr=0.000356631
[epoch 125] valid_bleu=7.54 | N/A
[epoch 126] train_loss=1.9514 step=49266 lr=0.000355871
[epoch 126] valid_bleu=7.41 | N/A
[epoch 127] train_loss=1.9478 step=49657 lr=0.000355105
[epoch 127] valid_bleu=8.43 | N/A
[epoch 128] train_loss=1.9451 step=50048 lr=0.000354333
[epoch 128] valid_bleu=8.18 | N/A
[epoch 129] train_loss=1.9434 step=50439 lr=0.000353555
[epoch 129] valid_bleu=7.87 | N/A
[epoch 130] train_loss=1.9398 step=50830 lr=0.000352772
[epoch 130] valid_bleu=7.74 | N/A
[epoch 131] train_loss=1.9372 step=51221 lr=0.000351984
[epoch 131] valid_bleu=7.48 | N/A
[epoch 132] train_loss=1.9353 step=51612 lr=0.00035119
[epoch 132] valid_bleu=7.83 | N/A
[epoch 133] train_loss=1.9317 step=52003 lr=0.00035039
[epoch 133] valid_bleu=8.37 | N/A
[epoch 134] train_loss=1.9288 step=52394 lr=0.000349585
[epoch 134] valid_bleu=7.88 | N/A
[epoch 135] train_loss=1.9264 step=52785 lr=0.000348775
[epoch 135] valid_bleu=8.15 | N/A
[epoch 136] train_loss=1.9231 step=53176 lr=0.000347959
[epoch 136] valid_bleu=7.66 | N/A
[epoch 137] train_loss=1.9211 step=53567 lr=0.000347138
[epoch 137] valid_bleu=7.83 | N/A
[epoch 138] train_loss=1.9179 step=53958 lr=0.000346312
[epoch 138] valid_bleu=8.11 | N/A
[epoch 139] train_loss=1.9162 step=54349 lr=0.00034548
[epoch 139] valid_bleu=8.09 | N/A
[epoch 140] train_loss=1.9133 step=54740 lr=0.000344643
[epoch 140] valid_bleu=7.71 | N/A
[epoch 141] train_loss=1.9107 step=55131 lr=0.000343801
[epoch 141] valid_bleu=7.65 | N/A
[epoch 142] train_loss=1.9080 step=55522 lr=0.000342954
[epoch 142] valid_bleu=8.15 | N/A
[epoch 143] train_loss=1.9059 step=55913 lr=0.000342101
[epoch 143] valid_bleu=7.91 | N/A
[epoch 144] train_loss=1.9039 step=56304 lr=0.000341243
[epoch 144] valid_bleu=7.57 | N/A
[epoch 145] train_loss=1.9015 step=56695 lr=0.000340381
[epoch 145] valid_bleu=7.67 | N/A
[epoch 146] train_loss=1.8985 step=57086 lr=0.000339513
[epoch 146] valid_bleu=7.95 | N/A
[epoch 147] train_loss=1.8952 step=57477 lr=0.00033864
[epoch 147] valid_bleu=7.85 | N/A
[epoch 148] train_loss=1.8939 step=57868 lr=0.000337763
[epoch 148] valid_bleu=7.77 | N/A
[epoch 149] train_loss=1.8925 step=58259 lr=0.00033688
[epoch 149] valid_bleu=7.80 | N/A
[epoch 150] train_loss=1.8893 step=58650 lr=0.000335993
[epoch 150] valid_bleu=8.09 | N/A
[epoch 151] train_loss=1.8871 step=59041 lr=0.000335101
[epoch 151] valid_bleu=7.65 | N/A
[epoch 152] train_loss=1.8846 step=59432 lr=0.000334203
[epoch 152] valid_bleu=7.88 | N/A
[epoch 153] train_loss=1.8824 step=59823 lr=0.000333302
[epoch 153] valid_bleu=7.66 | N/A
[epoch 154] train_loss=1.8806 step=60214 lr=0.000332395
[epoch 154] valid_bleu=7.34 | N/A
[epoch 155] train_loss=1.8785 step=60605 lr=0.000331484
[epoch 155] valid_bleu=7.69 | N/A
[epoch 156] train_loss=1.8754 step=60996 lr=0.000330568
[epoch 156] valid_bleu=7.64 | N/A
[epoch 157] train_loss=1.8740 step=61387 lr=0.000329647
[epoch 157] valid_bleu=7.80 | N/A
[epoch 158] train_loss=1.8717 step=61778 lr=0.000328722
[epoch 158] valid_bleu=7.51 | N/A
[epoch 159] train_loss=1.8692 step=62169 lr=0.000327792
[epoch 159] valid_bleu=7.43 | N/A
[epoch 160] train_loss=1.8669 step=62560 lr=0.000326858
[epoch 160] valid_bleu=8.25 | N/A
[epoch 161] train_loss=1.8655 step=62951 lr=0.000325919
[epoch 161] valid_bleu=7.82 | N/A
[epoch 162] train_loss=1.8629 step=63342 lr=0.000324976
[epoch 162] valid_bleu=8.15 | N/A
[epoch 163] train_loss=1.8615 step=63733 lr=0.000324029
[epoch 163] valid_bleu=8.12 | N/A
[epoch 164] train_loss=1.8593 step=64124 lr=0.000323077
[epoch 164] valid_bleu=7.61 | N/A
[epoch 165] train_loss=1.8577 step=64515 lr=0.000322121
[epoch 165] valid_bleu=7.73 | N/A
[epoch 166] train_loss=1.8558 step=64906 lr=0.00032116
[epoch 166] valid_bleu=7.53 | N/A
[epoch 167] train_loss=1.8536 step=65297 lr=0.000320196
[epoch 167] valid_bleu=8.12 | N/A
[epoch 168] train_loss=1.8516 step=65688 lr=0.000319227
[epoch 168] valid_bleu=8.21 | N/A
[epoch 169] train_loss=1.8502 step=66079 lr=0.000318254
[epoch 169] valid_bleu=7.91 | N/A
[epoch 170] train_loss=1.8473 step=66470 lr=0.000317277
[epoch 170] valid_bleu=7.80 | N/A
[epoch 171] train_loss=1.8463 step=66861 lr=0.000316295
[epoch 171] valid_bleu=7.82 | N/A
[epoch 172] train_loss=1.8447 step=67252 lr=0.00031531
[epoch 172] valid_bleu=7.78 | N/A
[epoch 173] train_loss=1.8421 step=67643 lr=0.000314321
[epoch 173] valid_bleu=7.86 | N/A
[epoch 174] train_loss=1.8402 step=68034 lr=0.000313328
[epoch 174] valid_bleu=8.27 | N/A
[epoch 175] train_loss=1.8378 step=68425 lr=0.000312331
[epoch 175] valid_bleu=8.22 | N/A
[epoch 176] train_loss=1.8367 step=68816 lr=0.00031133
[epoch 176] valid_bleu=8.02 | N/A
[epoch 177] train_loss=1.8351 step=69207 lr=0.000310325
[epoch 177] valid_bleu=8.00 | N/A
[epoch 178] train_loss=1.8331 step=69598 lr=0.000309317
[epoch 178] valid_bleu=7.80 | N/A
[epoch 179] train_loss=1.8311 step=69989 lr=0.000308305
[epoch 179] valid_bleu=7.74 | N/A
[epoch 180] train_loss=1.8294 step=70380 lr=0.000307289
[epoch 180] valid_bleu=7.93 | N/A
[epoch 181] train_loss=1.8277 step=70771 lr=0.000306269
[epoch 181] valid_bleu=7.56 | N/A
[epoch 182] train_loss=1.8257 step=71162 lr=0.000305246
[epoch 182] valid_bleu=7.96 | N/A
[epoch 183] train_loss=1.8240 step=71553 lr=0.000304219
[epoch 183] valid_bleu=7.55 | N/A
[epoch 184] train_loss=1.8222 step=71944 lr=0.000303189
[epoch 184] valid_bleu=7.79 | N/A
[epoch 185] train_loss=1.8209 step=72335 lr=0.000302156
[epoch 185] valid_bleu=7.60 | N/A
[epoch 186] train_loss=1.8194 step=72726 lr=0.000301118
[epoch 186] valid_bleu=8.03 | N/A
[epoch 187] train_loss=1.8175 step=73117 lr=0.000300078
[epoch 187] valid_bleu=7.69 | N/A
[epoch 188] train_loss=1.8153 step=73508 lr=0.000299034
[epoch 188] valid_bleu=7.85 | N/A
[epoch 189] train_loss=1.8140 step=73899 lr=0.000297987
[epoch 189] valid_bleu=8.04 | N/A
[epoch 190] train_loss=1.8124 step=74290 lr=0.000296936
[epoch 190] valid_bleu=7.72 | N/A
[epoch 191] train_loss=1.8103 step=74681 lr=0.000295883
[epoch 191] valid_bleu=7.75 | N/A
[epoch 192] train_loss=1.8086 step=75072 lr=0.000294826
[epoch 192] valid_bleu=8.06 | N/A
[epoch 193] train_loss=1.8080 step=75463 lr=0.000293766
[epoch 193] valid_bleu=7.94 | N/A
[epoch 194] train_loss=1.8064 step=75854 lr=0.000292703
[epoch 194] valid_bleu=7.95 | N/A
[epoch 195] train_loss=1.8040 step=76245 lr=0.000291637
[epoch 195] valid_bleu=7.91 | N/A
[epoch 196] train_loss=1.8027 step=76636 lr=0.000290568
[epoch 196] valid_bleu=7.69 | N/A
[epoch 197] train_loss=1.8011 step=77027 lr=0.000289496
[epoch 197] valid_bleu=8.04 | N/A
[epoch 198] train_loss=1.7997 step=77418 lr=0.000288421
[epoch 198] valid_bleu=7.85 | N/A
[epoch 199] train_loss=1.7979 step=77809 lr=0.000287343
[epoch 199] valid_bleu=7.99 | N/A
[epoch 200] train_loss=1.7962 step=78200 lr=0.000286262
